PLAYER,TEAM,GP,MIN,PPG,FGM,FGA,FGPc,3PM,3PA,3PPc,FTM,FTA,FTPc,PcFGA2PT,PcFGA3PT,PcPTS2PT,PcPTS2PTMr,PcPTS3PT,PcPTSFBPS,PcPTSFT,PcPTSOFFTO,PcPTSPITP,2FGMPcAST,2FGMPcUAST,3FGMPcAST,3FGMPcUAST,FGMPcAST,FGMPcUAST
Courtney Lee,NYK,77,31.9,10.8,4.2,9.1,45.6,1.4,3.5,40.1,1.1,1.3,86.7,61.8,38.2,51,24.9,38.8,13.7,10.2,18.8,26.1,52.1,47.9,88.9,11.1,64.5,35.5
Damian Lillard,POR,75,35.9,27,8.8,19.8,44.4,2.9,7.7,37,6.5,7.3,89.5,61.1,38.9,44.2,12.4,31.7,9.4,24.1,13,31.8,23.5,76.5,49.5,50.5,31.9,68.1
Danilo Gallinari,DEN,63,33.9,18.2,5.3,11.9,44.7,2,5.1,38.9,5.5,6.1,90.2,56.8,43.2,36.5,13.8,33,12.2,30.5,10.2,22.7,50.2,49.8,95.2,4.8,67.2,32.8
Darren Collison,SAC,68,30.3,13.2,5,10.5,47.6,1.1,2.6,41.7,2.2,2.5,86,75.5,24.5,59.3,25.8,24.3,16,16.3,17.7,33.6,36,64,75.3,24.7,44.4,55.6
DeAndre Jordan,LAC,81,31.7,12.7,5.1,7.1,71.4,0,0,0,2.5,5.2,48.2,99.7,0.3,80.1,0,0,10,19.9,12.2,80.1,72.3,27.7,0,0,72.3,27.7
DeMar DeRozan,TOR,74,35.4,27.3,9.7,20.9,46.7,0.4,1.7,26.6,7.4,8.7,84.2,92,8,68.1,30.5,4.9,9.3,27,12.8,37.6,18.8,81.3,84.8,15.2,21.8,78.2
DeMarcus Cousins,NOP,72,34.2,27,9,19.9,45.2,1.8,5,36.1,7.2,9.3,77.2,74.7,25.3,53.1,9.5,20.2,4.6,26.6,13.3,43.7,39.9,60.1,89.3,10.7,49.9,50.1
Dennis Schroder,ATL,79,31.5,17.9,6.9,15.4,45.1,1.3,3.7,34,2.8,3.2,85.5,75.8,24.2,63.4,19.2,21.2,10.3,15.4,16.5,44.1,21,79,67,33,29.4,70.6
Derrick Rose,NYK,64,32.5,18,7.2,15.3,47.1,0.2,0.9,21.7,3.5,4,87.4,93.9,6.1,77.5,21.7,3.4,17,19.2,11.7,55.8,21.7,78.3,69.2,30.8,23,77
Devin Booker,PHX,78,35,22.1,7.8,18.3,42.3,1.9,5.2,36.3,4.7,5.7,83.2,71.7,28.3,53.2,22.9,25.6,22.4,21.3,18,30.2,33.3,66.7,76.2,23.8,43.7,56.3
Dion Waiters,MIA,46,30.1,15.8,6.1,14.4,42.4,1.8,4.7,39.5,1.8,2.8,64.6,67.6,32.4,53.8,17,35,13.3,11.2,14.3,36.8,19.4,80.6,80,20,37.7,62.3
Draymond Green,GSW,76,32.5,10.2,3.6,8.6,41.8,1.1,3.5,30.8,2,2.8,70.9,59.5,40.5,49.2,1.8,31.3,21.5,19.5,17.7,47.4,71.2,28.8,97.5,2.5,79,21
Eric Bledsoe,PHX,66,33,21.1,6.8,15.7,43.4,1.6,4.7,33.5,5.9,6.9,84.7,70,30,49.6,13.1,22.4,20.1,27.9,14.1,36.5,11.6,88.4,51,49,20.7,79.3
Eric Gordon,HOU,75,31,16.2,5.5,13.5,40.6,3.3,8.8,37.2,2,2.3,84,34.9,65.1,27.3,2.5,60.6,15.3,12.1,11.8,24.8,44.6,55.4,84.1,15.9,68.2,31.8
Evan Fournier,ORL,68,32.8,17.2,6,13.7,43.9,1.9,5.3,35.6,3.3,4.1,80.5,61.3,38.7,48,8.9,32.9,12.8,19.1,14.5,39.1,45.7,54.3,87.5,12.5,58.8,41.2
Gary Harris,DEN,57,31.3,14.9,5.6,11.2,50.2,1.9,4.5,42,1.8,2.4,77.6,60,40,50.1,5.9,37.7,18.9,12.2,17.4,44.2,66.2,33.8,97.2,2.8,76.6,23.4
George Hill,UTA,49,31.5,16.9,5.9,12.4,47.7,1.9,4.8,40.3,3.2,4,80.1,61.6,38.4,47,15.2,34,8.9,18.9,13.1,31.8,25.6,74.4,67,33,39.1,60.9
Giannis Antetokounmpo,MIL,80,35.6,22.9,8.2,15.7,52.1,0.6,2.3,27.2,5.9,7.7,77,85.7,14.3,66.3,9.3,8,23.4,25.7,20.6,57,42,58,71.4,28.6,44.2,55.8
Goran Dragic,MIA,73,33.7,20.3,7.3,15.4,47.5,1.6,4,40.5,4.1,5.2,79,74.3,25.7,56.2,14.8,23.7,16.7,20.1,16.9,41.4,20.4,79.6,65.8,34.2,30.3,69.7
